Country,Capital,Language
Afghanistan,Kabul,Pashto/Dari(Arabic script)
Albania,Tirana,Albanian
Algeria,Algiers,Berber language(Tifinagh script)Arabic(Arabic script)
American Samoa[1],Pago Pago,SamoanEnglish
Andorra,Andorra la Vella,Catalan
Angola,Luanda,Portuguese Kongo
Anguilla[2],The Valley,English
Antigua and Barbuda,Saint John's,English
Argentina,Buenos Aires,Spanish
Armenia,Yerevan,Armenian(Armenian alphabet)
Aruba[3],Oranjestad,"Dutch, Papiamento"
Australia,Canberra,English/Aboriginal languages
Austria,Vienna,German
Åland[4],Mariehamn,SwedishFinnish
Azerbaijan,Baku,Azerbaijani
