csv_input
Date,Steps,Resting Heart Rate,Active Heart Rate
6/24,12084,68,89
6/25,10117,70,92
6/26,9789,68,89
6/27,8898,68,89
6/28,9013,66,89
6/29,14900,68,87
6/30,13120,68,89
7/1,12000,68,89
7/2,10117,68,89
7/3,9789,67,89
7/4,8898,68,90
7/5,9013,68,89
7/6,13900,68,89
7/7,14120,68,89
7/8,12180,68,89
7/9,10117,71,88
7/10,9789,68,89
7/11,8898,68,89
7/12,9013,68,89
7/13,14909,68,89
7/14,13220,68,90
7/15,12084,68,89
7/16,10117,70,92
7/17,9789,68,89
7/18,8898,68,89
7/19,9013,66,89
7/20,14900,68,87
7/21,13120,68,89
7/22,12000,68,89
7/23,10117,68,89
7/24,9789,67,89
7/25,8898,68,90
7/26,9013,68,89
7/27,13900,68,89
7/28,14120,68,89
