Day of Death,Natural Causes
7,52
9,8
3,35
3,4
3,2
4,42
1,162
1,28
1,45
1,100
1,260
1,500
1,942
1,1311
1,1908
1,2663
1,15
1,1
1,3
1,21
1,38
1,53
1,119
1,143
1,140
1,143
1,23
1,4
1,7
1,22
1,50
1,91
1,237
1,431
1,718
1,1299
1,232
1,27
1,65
1,192
1,424
1,1014
1,2325
1,2950
1,3209
1,3685
1,286
1,58
1,140
1,342
1,1041
1,2942
1,8715
1,15513
1,23541
1,40325
1,29
1,5
1,6
1,15
1,25
1,75
1,132
1,158
1,157
1,196
1,237
1,26
1,67
1,193
1,380
1,889
1,1600
1,1903
1,1903
1,1740
1,20
1,2
1,3
1,23
1,35
1,88
1,150
1,174
1,146
1,71
1,43
1,8
1,19
1,29
1,65
1,186
1,439
1,540
1,815
1,843
1,241
1,36
1,72
1,199
1,498
1,1231
1,3112
1,3594
1,2904
1,1748
1,418
1,70
1,183
1,463
1,1279
1,4251
1,12804
1,20696
1,24956
1,25557
1,46
1,3
1,8
1,17
1,39
1,92
1,239
1,227
1,172
1,118
2,180
2,32
2,47
2,96
2,215
2,426
2,890
2,1211
2,1728
2,2420
2,7
2,0
2,1
2,12
2,28
2,50
2,106
2,130
2,125
2,110
2,27
2,5
2,2
2,17
2,45
2,137
2,235
2,415
2,657
2,1163
2,224
2,28
2,52
2,173
2,395
2,848
2,2080
2,2704
2,2849
2,3326
2,307
2,73
2,102
2,370
2,855
2,2610
2,7686
2,14022
2,21134
2,35923
2,30
2,4
2,6
2,17
2,28
2,55
2,103
2,156
2,161
2,171
2,193
2,29
2,70
2,153
2,348
2,773
2,1372
2,1617
2,1610
2,1534
2,9
2,2
2,6
2,26
2,40
2,70
2,164
2,184
2,147
2,73
2,27
2,4
2,10
2,36
2,65
2,189
2,374
2,551
2,806
2,832
2,272
2,19
2,69
2,210
2,447
2,1168
2,2840
2,3369
2,2581
2,1586
2,405
2,60
2,147
2,479
2,1108
2,3856
2,11662
2,18833
2,22743
2,22997
2,39
2,5
2,5
2,21
2,36
2,72
2,182
2,261
2,170
2,102
3,193
3,28
3,41
3,95
3,218
3,496
3,964
3,1344
3,1863
3,2685
3,8
3,1
3,1
3,12
3,32
3,62
3,134
3,132
3,132
3,128
3,31
3,3
3,9
3,23
3,47
3,115
3,260
3,440
3,738
3,1322
3,275
3,29
3,57
3,182
3,431
3,964
3,2240
3,2915
3,3077
3,3634
3,323
3,49
3,95
3,366
3,989
3,2745
3,8581
3,15262
3,23079
3,39575
3,45
3,9
3,7
3,20
3,34
3,69
3,146
3,172
3,197
3,190
3,225
3,42
3,55
3,194
3,379
3,866
3,1522
3,1830
3,1803
3,1638
3,16
3,2
3,5
3,9
3,38
3,94
3,165
3,182
3,130
3,69
3,31
3,3
3,12
3,25
3,69
3,175
3,355
3,613
3,817
3,888
3,288
3,39
3,103
3,230
3,537
3,1294
3,2919
3,3606
3,2842
3,1900
3,399
3,66
3,162
3,517
3,1256
3,4197
3,12620
3,20684
3,24653
3,25246
3,56
3,3
3,3
3,17
3,34
3,92
3,184
3,245
3,187
3,121
4,198
4,28
4,56
4,93
4,227
4,408
4,877
4,1253
4,1663
4,2334
